LastName, FirstName, Gender, FavoriteColor, DateOfBirth
Mort, Aeriela, Female, Orange, 5/14/2010
Croll, Lenee, Male, Red, 8/18/1948
Brosetti, Netta, Female, Crimson, 9/8/1931
Bickmore, Lindy, Male, Pink, 1/22/2021
Genthner, Hetti, Male, Orange, 10/17/1999
Stelli, Hatti, Male, Mauv, 10/17/1969
Richards, Mitch, Female, Red, 11/24/1941
Halpeine, Greta, Female, Fuscia, 6/26/1939
Orrell, Renae, Female, Violet, 12/3/2018
Btham, Zsazsa, Male, Crimson, 7/18/1987
Seelbach, Liza, Male, Red, 9/27/1928
Umpleby, Geordie, Female, Khaki, 10/16/1988
Bensley, Tate, Female, Turquoise, 6/27/1950
Tretwell, Lexie, Female, Orange, 5/13/1961
McArthur, Rafaellle, Female, Puce, 3/3/2016
Jobey, Doralynn, Male, Crimson, 1/19/1977
Castellaccio, Teddie, Male, Teal, 11/7/2002
Lightbowne, Aubrie, Male, Teal, 1/31/1930
Biaggetti, Thea, Female, Violet, 7/29/1976
