LastName | FirstName | Gender | FavoriteColor | DateOfBirth
Merriott | Nicol | Female | Orange | 6/25/2012
Dacres | Casandra | Female | Red | 10/2/1940
Hourahan | Cissy | Male | Puce | 10/12/1988
Trever | Tiphany | Genderqueer | Puce | 12/24/1958
Benasik | Libbi | Male | Indigo | 5/17/1924
Radbond | Hatti | Male | Orange | 9/29/1981
MacFaul | Davie | Female | Indigo | 9/16/1959
Verdon | Edee | Female | Green | 9/1/1962
Adamovitch | Jarid | Male | Red | 2/14/1970
Goldthorpe | Prisca | Female | Puce | 10/14/1988
Dutch | Richart | Polygender | Yellow | 11/2/1981
Capel | Dela | Male | Khaki | 8/20/2019
Macauley | Walther | Male | Yellow | 12/16/2011
Hurdle | Merrily | Male | Teal | 11/9/1962
Burdekin | Milka | Male | Green | 10/30/2006
Sugar | Corey | Male | Maroon | 2/5/1922
Rollett | Jerry | Male | Turquoise | 4/13/1979
Brocklesby | Mireille | Female | Turquoise | 2/15/1971
Blakeway | Michal | Female | Fuscia | 9/3/1925
Penticoot | Kitti | Male | Purple | 3/6/1951
