LastName FirstName Gender FavoriteColor DateOfBirth
McMichan Natalie Female Khaki 1/9/1980
Lindenberg Nigel Male Red 1/17/2001
Axford Gery Male Red 2/6/1995
Tohill Viva Male Yellow 5/19/1956
Biskupiak Merci Female Aquamarine 12/31/1984
Saffle Bryana Male Pink 2/26/1975
Tredinnick Alyson Female Mauv 4/26/2007
Reedman Morry Male Maroon 6/13/2006
Portwaine Rheba Male Purple 8/30/1956
Sofe Gaynor Female Puce 3/24/2007
Schmidt Mannie Male Violet 8/20/1929
Lawleff Yuri Male Pink 3/8/1983
Faucett May Male Green 3/1/1936
Christensen Corinna Male Pink 4/10/2000
Aspray Tan Male Crimson 8/27/1969
Pinchbeck Mathilda Female Turquoise 9/5/2020
Waggatt Hollis Male Aquamarine 9/15/1973
Riglar Missie Male Orange 1/14/1925
Lyvon Regan Female Teal 11/15/1971
Kirwan Dan Female Blue 9/13/1980
